accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
SM24412503	SM_001	SM845102	191.9614	[M+H]+	15553	C6H3Cl2NO2	2.478
SM92301733	SM_001	SM817401	147.0804	[M+H]+	15909	C10H10O	9.203
SM32673960	SM_001	SM842603	291.0895	[M+H]+	16115	C15H15ClN2O2	11.638
SM38525107	SM_001	SM842901	189.9821	[M+H]+	16183	C7H5Cl2NO	2.327
SM44747854	SM_001	SM843301	226.0896	[M+H]+	16248	C11H15NO2S	11.07
SM63009867	SM_001	SM842702	235.1441	[M+H]+	16559	C13H18N2O2	10.144
SM76598366	SM_001	SM843003	204.993	[M+H]+	16854	C7H6Cl2N2O	9.313
SM09773892	SM_001	SM847802	346.0443	[M+H]+	17531	C12H16N3O3PS2	11.896
SM10761284	SM_001	SM812203,SM865504	171.1856	[M+H]+	17857	C10H22N2	0.388
SM92121933	SM_001	SM826401	95.0604	[M+H]+	18922	C5H6N2	0.936
SM13739503	SM_001	SM823401,SM878901	214.0896	[M+H]+	19241	C10H15NO2S	9.8605
SM34310614	SM_001	SM880203	309.0427	[M+H]+	19988	C14H12O6S	10.334
SM03805346	SM_001	SM841303	230.1167	[M+H]+	22206	C9H16ClN5	11.127
SM30747462	SM_001	SM840801	188.0697	[M+H]+	22563	C6H10ClN5	6.738
SM78371290	SM_001	SM814103	362.2115	[M+H]+	22571	C24H27NO2	14.495
SM51038622	SM_001	SM837601	288.1747	[M+H]+	24321	C21H21N	9.986
SM32218610	SM_001	SM880301	194.1176	[M+H]+	25127	C11H15NO2	11.279
SM43697098	SM_001	SM879201	192.0768	[M+H]+	25429	C9H9N3O2	1.262
SM31895416	SM_001	SM847502	374.0934	[M+H]+	26033	C14H20N3O5PS	12.807
SM71261038	SM_001	SM881002	327.0081	[M+H]+	26176	C9H18Cl3O4P	11.392
SM16331521	SM_001	SM819401,SM880902	428.8912	[M+H]+	26177	C9H15Cl6O4P	12.5975
SM52547099	SM_001	SM838201	213.0789	[M+H]+	27375	C10H13ClN2O	9.785
SM63895213	SM_001	SM846503	347.102	[M+H]+	29393	C12H18N4O6S	11.922
SM02060263	SM_001	SM846603	345.0767	[M+H]+	29732	C15H18Cl2N2O3	13.61
SM75508428	SM_001	SM838801	215.0961	[M+H]+	30479	C8H14N4OS	8.538
SM58277379	SM_001	SM820101,SM882601	215.9784	[M+H]+	30647	C7H5NO3S2	7.0625
SM47185411	SM_001	SM805302,SM811203,SM865601	151.0866	[M+H]+	31230	C8H10N2O	0.44333333333333336
SM80740772	SM_001	SM824801,SM880801	267.172	[M+H]+	31355	C12H27O4P	13.0695
SM16091949	SM_001	SM808701	219.0474	[M+H]+	31386	C12H10O2S	9.673
SM37281419	SM_001	SM841701	239.1503	[M+H]+	31645	C11H18N4O2	6.53
SM38613909	SM_001	SM823104	257.0808	[M+H]+	31736	C15H12O4	10.598
SM06113820	SM_001	SM846703	256.029	[M+H]+	32154	C12H11Cl2NO	11.24
SM61766754	SM_001	SM881901	149.9775	[M+H]+	33344	C4H4ClNOS	2.149
SM66901695	SM_001	SM840003	287.0948	[M+H]+	33360	C13H18O5S	11.089
SM38313859	SM_001	SM821001,SM879601	214.126	[M+H]+	33528	C11H19NOS	11.8095
SM56945901	SM_001	SM823802,SM878701	275.0485	[M+H]+	33919	C13H10N2O3S	4.2215
SM55216739	SM_001	SM841002	306.1036	[M+H]+	34526	C11H20N3O3PS	12.282
SM49911728	SM_001	SM848503	284.024	[M+H]+	36242	C13H11Cl2NO2	11.594
SM55257361	SM_001	SM838102	207.1492	[M+H]+	36679	C12H18N2O	10.106
SM64992073	SM_001	SM845803	311.0393	[M+H]+	37123	C14H9ClF2N2O2	12.074
SM37756932	SM_001	SM878201	297.0556	[M+H]+	37175	C14H14Cl2N2O	8.5
SM14017376	SM_001	SM818301	293.1051	[M+H]+	37907	C15H17ClN2O2	9.019
SM72756664	SM_001	SM843503	282.1448	[M+H]+	38479	C13H19N3O4	13.761
SM93344208	SM_001	SM840101	203.0927	[M+H]+	38854	C10H10N4O	5.756
SM71025666	SM_001	SM845402	317.1642	[M+H]+	38884	C13H24N4O3S	10.882
SM78439292	SM_001	SM854802	362.1154	[M+H]+	39042	C19H20ClNO4	11.455
SM34898200	SM_001	SM839501	256.1099	[M+H]+	39722	C13H18ClNO2	10.522
SM64183754	SM_001	SM835601,SM847401	253.1659	[M+H]+	39965	C12H20N4O2	9.043
SM60075033	SM_001	SM844202	296.116	[M+H]+	41368	C14H18ClN3O2	11.581
SM82206130	SM_001	SM819202	349.1329	[M+H]+	41781	C16H20N4O3S	8.525
SM19595427	SM_001	SM839102	280.1543	[M+H]+	42586	C15H21NO4	10.352
SM17910990	SM_001	SM841502	342.0771	[M+H]+	43234	C15H17Cl2N3O2	12.414
SM00425599	SM_001	SM855502	330.15	[M+H]+	43815	C19H20FNO3	8.722
SM63963934	SM_001	SM861901	218.0845	[M+H]+	44093	C9H15NO3S	5.861
SM84430714	SM_001	SM857403	531.156	[M+H]+	47576	C26H28Cl2N4O4	9.348
SM90277953	SM_001	SM845603	167.104	[M+H]+	47866	C6H10N6	0.398
SM41579644	SM_001	SM841601	278.1055	[M+H]+	49384	C14H16ClN3O	10.257
SM47812085	SM_001	SM844702	326.1751	[M+H]+	51369	C20H23NO3	12.49
SM83526245	SM_001	SM846001	302.1387	[M+H]+	51605	C17H19NO4	12.301
SM15540765	SM_001	SM843201	240.0786	[M+H]+	54778	C12H14ClNO2	10.674
SM59674098	SM_001	SM859301	559.2603	[M+H]+	60823	C33H35FN2O5	12.404
SM13255091	SM_001	SM850903	298.126	[M+H]+	60835	C18H19NOS	8.896
SM64924756	SM_001	SM860801	436.2343	[M+H]+	60846	C24H29N5O3	11.967
SM96162580	SM_001	SM852903	413.1197	[M+H]+	60854	C21H21ClN4OS	8.194
SM74876755	SM_001	SM834302	360.1565	[M+H]+	60953	C15H22FN3O6	9.588
SM58169665	SM_001	SM845901	282.2791	[M+H]+	61899	C18H35NO	8.992
SM24237593	SM_001	SM839802	252.1417	[M+H]+	62020	C14H21NOS	13.154
SM21261299	SM_001	SM822601,SM881201	391.23	[M+H]+	62479	C15H30N6O6	9.936
SM15691214	SM_001	SM851803	316.0347	[M+H]+	64139	C14H9ClF3NO2	12.374
SM19546596	SM_001	SM858902	296.07	[M+H]+	65280	C12H13N3O4S	7.661
SM26652582	SM_001	SM862204	196.0604	[M+H]+	65512	C9H9NO4	3.965
SM75179111	SM_001	SM819101	515.2442	[M+H]+	65999	C33H30N4O2	10.446
SM37659796	SM_001	SM804901	181.076	[M+H]+	67472	C12H8N2	2.881
SM20273016	SM_001	SM800003	70.04	[M+H]+	67516	C2H3N3	0.582
SM83802324	SM_001	SM862703	306.0811	[M+H]+	68617	C17H17Cl2N	9.386
SM77109970	SM_001	SM835001	187.0754	[M+H]+	69165	C12H10O2	9.34
SM93929768	SM_001	SM802503	221.0961	[M+H]+	69911	C16H12O	11.963
SM80764354	SM_001	SM836401	139.0502	[M+H]+	72662	C6H6N2O2	1.389
SM22165339	SM_001	SM838902	376.0381	[M+H]+	73665	C15H16Cl3N3O2	11.903
SM05173054	SM_001	SM838502	316.1076	[M+H]+	73675	C16H15F2N3Si	12.149
SM51162731	SM_001	SM804205	95.0604	[M+H]+	74208	C5H6N2	0.555
SM52248435	SM_001	SM821201,SM878401	201.0692	[M+H]+	74369	C8H12N2O2S	4.24
SM76545894	SM_001	SM810601	221.0961	[M+H]+	74867	C16H12O	12.265
SM74248776	SM_001	SM817001	221.0961	[M+H]+	74868	C16H12O	12.085
SM12917451	SM_001	SM814802	200.0528	[M+H]+	75892	C12H9NS	11.723
SM49709387	SM_001	SM811402,SM865901	137.0709	[M+H]+	76079	C7H8N2O	0.51
SM11712243	SM_001	SM884101	221.0743	[M+H]+	77901	C11H12N2OS	9.37
SM11766609	SM_001	SM814501	187.0754	[M+H]+	79352	C12H10O2	10.667
SM33597993	SM_001	SM820403,SM880001	255.0838	[M+H]+	79633	C16H14OS	13.609
