accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
PR14111595	PR_000	PR307972,PR307975,PR307977,PR307979,PR307982,PR307984,PR307986,PR307988,PR307990,PR307992,PR308738	361.16566195257275	[M-H]-	586372	C20H26O6	4.770045454545454
PR78253386	PR_000	PR309216	477.0631	[M-H]-	598860	C17H22N2O10S2	3.52
PR53114177	PR_000	PR307419,PR307420,PR307421,PR307423,PR307424,PR307425,PR307427,PR307428,PR307429,PR307431,PR309196	435.1507999127273	[M+HCOO]-	601562	C17H26O10	3.36397
PR76973760	PR_000	PR307422,PR307426,PR307430	389.14532059999993	[M-H]-	601562	C17H26O10	3.364367
PR05960419	PR_000	PR305045,PR305049,PR305053,PR305057,PR305061,PR305066,PR305070,PR305073,PR305077,PR305082,PR305086,PR305090,PR308885	443.21876032476604	[M+HCOO]-	611919	C23H30N2O4	5.513246461538462
PR85510441	PR_000	PR305044,PR305048,PR305052,PR305056,PR305060,PR305065,PR305069,PR305072,PR305076,PR305081,PR305085,PR305089,PR308881	397.21328096722766	[M-H]-	611919	C23H30N2O4	5.513246461538462
PR37387643	PR_000	PR309025	269.0813	[M-H]-	623060	C16H14O4	5.93
PR10598144	PR_000	PR304486,PR304488,PR304490,PR304492,PR304494,PR304496,PR304498,PR304500,PR304502,PR304504,PR304506,PR304508,PR308858	293.16593709030457	[M-H]-	626363	C19H22N2O	3.582461846153846
PR11230848	PR_000	PR305109,PR305111,PR305113,PR305115,PR305117,PR305119,PR305121,PR305123,PR305125,PR305127,PR305129,PR305131,PR308866	339.1714164441507	[M-H]-	630921	C20H24N2O3	3.8140458461538462
PR51146233	PR_000	PR307456,PR307457,PR307458,PR307459,PR307460,PR307461,PR308821	487.2337413748572	[M+HCOO]-	633349	C26H34O6	7.5083139999999995
PR71902618	PR_000	PR307062,PR307065,PR307068,PR307071,PR307073,PR307075,PR307078,PR307081,PR307083,PR307086,PR307089,PR307092,PR309001	223.06119727492003	[M-H]-	637775	C11H12O5	4.210184615384616
PR84408563	PR_000	PR309219	253.0498	[M-H]-	688715	C15H10O4	8.56
PR62763345	PR_000	PR309225	297.0757	[M-H]-	688836	C17H14O5	6.76
PR26136029	PR_000	PR306986,PR306990,PR306994,PR307001,PR307005,PR307009,PR307013,PR307017,PR307021,PR307025,PR308791	239.07136795257276	[M-H]-	2734580	C15H12O3	7.162893636363637
PR22066587	PR_000	PR309119	217.1079	[M-H]-	3017884	C10H18O5	4.3
PR97887995	PR_000	PR309160	566.3452	[M+HCOO]-	3082003	C26H52NO7P	10.27
PR59866605	PR_000	PR308956	154.9836	[M-H]-	3083960	C3H8O3S2	2.93
PR62074627	PR_000	PR307061,PR307064,PR307067,PR307070,PR307072,PR307077,PR307080,PR307082,PR307085,PR307088,PR307091,PR309303	593.1511935271774	[M-H]-	3084407	C27H30O15	3.3028416666666662
PR96984781	PR_000	PR305004,PR305006,PR305009,PR305010,PR305012,PR305015,PR308884	432.2027764891429	[M+HCOO]-	3101182	C22H29NO5	3.030328285714286
PR26521663	PR_000	PR304549,PR304553,PR304557,PR304561,PR304565,PR304569,PR304573,PR304577,PR304581,PR304585,PR304589,PR304593,PR308872	365.1870665364585	[M-H]-	3281521	C22H26N2O3	5.674446461538461
PR70600227	PR_000	PR309054	299.0761	[M-H]-	3320872	C13H16O8	2.58
PR28222027	PR_000	PR308145,PR308147,PR308149,PR308151,PR308153,PR308155,PR308157,PR308159,PR308161,PR308163,PR308165,PR308167,PR308756	287.140116351843	[M-H]-	3321899	C16H20N2O3	6.139554153846153
PR68903925	PR_000	PR309005	591.1714	[M-H]-	3347980	C28H32O14	4.62
PR79943149	PR_000	PR308262,PR308264,PR308266,PR308268,PR308270,PR308272,PR308274,PR308276,PR308278,PR308280,PR308282,PR308284,PR309450	245.09316616722768	[M-H]-	3398622	C13H14N2O3	4.52866153846154
PR89047812	PR_000	PR305064,PR305080	796.41249385183	[M+HCOO]-	3403655	C39H61NO13	5.103483
PR90172740	PR_000	PR305043,PR305047,PR305051,PR305055,PR305059,PR305063,PR305068,PR305071,PR305075,PR305079,PR305084,PR305088,PR308895	750.4070141979971	[M-H]-	3403655	C39H61NO13	5.103215076923076
PR39899765	PR_000	PR309063	387.1291	[M+HCOO]-	3496897	C16H22O8	2.88
PR74661034	PR_000	PR308969	753.4027	[M+HCOO]-	3509806	C38H60O12	8.59
PR11821599	PR_000	PR307328,PR307330,PR307332,PR307334,PR307336,PR307338,PR307341,PR307343,PR307345,PR307348,PR309195	433.1351498653001	[M+HCOO]-	3515873	C17H24O10	3.4165909090909086
PR95447290	PR_000	PR307327,PR307329,PR307331,PR307333,PR307335,PR307337,PR307339,PR307340,PR307342,PR307344,PR307346,PR307347,PR308754	387.1296705056892	[M-H]-	3515873	C17H24O10	3.416538461538461
